"x","lx","cohort"
6,97755.7351121914,1967
7,97705.7036634413,1967
8,97665.2012931951,1967
9,97627.0351703517,1967
10,97586.5351320618,1967
11,97555.6286027142,1967
12,97524.7602054842,1967
13,97498.6824691749,1967
14,97470.2365611053,1967
15,97422.8268532826,1967
16,97389.6760167632,1967
17,97306.9723448146,1967
18,97226.8637700725,1967
19,97151.8153946558,1967
20,97044.8879317373,1967
21,96917.5354927653,1967
22,96813.1123814922,1967
23,96741.2536366858,1967
24,96653.5304488188,1967
25,96584.6534698339,1967
26,96488.7005599934,1967
27,96390.8522310426,1967
28,96288.6017056345,1967
29,96202.8469130754,1967
30,96110.7584727236,1967
31,96032.2911800306,1967
32,95935.9426047032,1967
33,95819.6294068361,1967
34,95718.9923343076,1967
35,95584.7662716084,1967
36,95479.634449473,1967
37,95352.0039135568,1967
38,95204.1337254214,1967
39,95085.3535277177,1967
40,94930.7984095914,1967
41,94801.1706571335,1967
42,94651.908379244,1967
43,94489.3166868538,1967
44,94340.2020098694,1967
45,94166.4109211334,1967
46,93966.1204273068,1967
47,93719.352217318,1967
48,93486.4198286953,1967
49,93220.7609466025,1967
50,92966.7275787598,1967
51,92695.5276866434,1967
52,92393.7433251012,1967
53,92094.294913928,1967
54,91766.4490286945,1967
0,1e+05,1968
1,98177.1868426299,1968
2,98055.7032793311,1968
3,97980.6091214894,1968
4,97915.9882430936,1968
5,97859.1812995031,1968
6,97820.491413429,1968
7,97779.2000561421,1968
8,97740.4362174776,1968
9,97712.0493839514,1968
10,97681.1303935618,1968
11,97657.9647616995,1968
12,97639.9699655266,1968
13,97624.5646375972,1968
14,97596.3255322401,1968
15,97575.7978877241,1968
16,97524.5167254335,1968
17,97463.1369956849,1968
18,97409.6882034421,1968
19,97326.4061806735,1968
20,97225.7342797309,1968
21,97142.7392984055,1968
22,97059.8622856623,1968
23,96992.4033731227,1968
24,96922.8111479241,1968
25,96846.2509179918,1968
26,96757.7920040255,1968
27,96652.5436934987,1968
28,96521.370644963,1968
29,96451.3009155265,1968
30,96354.8039313382,1968
31,96258.4669818573,1968
32,96164.6433187303,1968
33,96097.3633426814,1968
34,95986.9612370945,1968
35,95867.0080792515,1968
36,95722.8471197717,1968
37,95619.4551202901,1968
38,95503.9702016972,1968
39,95390.9776667851,1968
40,95252.1887176728,1968
41,95097.1687411393,1968
42,94949.110484613,1968
43,94784.4688198616,1968
44,94641.3798801182,1968
45,94462.6049925087,1968
46,94286.5498045772,1968
47,94084.9083719454,1968
48,93813.2179238833,1968
49,93579.9514719589,1968
50,93335.1673830088,1968
51,93050.792668561,1968
52,92721.8954950093,1968
53,92444.6968988091,1968
0,1e+05,1969
1,98250.6680512916,1969
2,98142.4685281745,1969
3,98088.5384513956,1969
4,98023.9390701415,1969
5,97989.0335592268,1969
6,97962.1507250022,1969
7,97905.5888361044,1969
8,97870.5883812286,1969
9,97849.088444416,1969
10,97808.8531322997,1969
11,97765.9852422302,1969
12,97755.2747885488,1969
13,97731.1846611856,1969
